ID_Pays;Human Development Index;Life expectancy at birth;Expected years of schooling;Mean years of schooling;HDI rank (2020);HDI rank (2021)
AFG;0,478;62,0;10,3;3,0;177;180
ALB;0,796;76,5;14,4;11,3;68;67
DZA;0,745;76,4;14,6;8,1;96;91
AND;0,858;80,4;13,3;10,6;45;40
AGO;0,586;61,6;12,2;5,4;149;148
ATG;0,788;78,5;14,2;9,3;71;71
ARG;0,842;75,4;17,9;11,1;47;47
ARM;0,759;72,0;13,1;11,3;87;85
AUS;0,951;84,5;21,1;12,7;5;5
AUT;0,916;81,6;16,0;12,3;23;25
AZE;0,745;69,4;13,5;10,5;100;91
BHS;0,812;71,6;12,9;12,6;58;55
BHR;0,875;78,8;16,3;11,0;35;35
BGD;0,661;72,4;12,4;7,4;128;129
BRB;0,790;77,6;15,7;9,9;71;70
BLR;0,808;72,4;15,2;12,1;60;60
BEL;0,937;81,9;19,6;12,4;16;13
BLZ;0,683;70,5;13,0;8,8;120;123
BEN;0,525;59,8;10,8;4,3;166;166
BTN;0,666;71,8;13,2;5,2;125;127
BOL;0,692;63,6;14,9;9,8;119;118
BIH;0,780;75,3;13,8;10,5;73;74
BWA;0,693;61,1;12,3;10,3;110;117
BRA;0,754;72,8;15,6;8,1;86;87
BRN;0,829;74,6;14,0;9,2;49;51
BGR;0,795;71,8;13,9;11,4;64;68
BFA;0,449;59,3;9,1;2,1;185;184
BDI;0,426;61,7;10,7;3,1;187;187
CPV;0,662;74,1;12,6;6,3;127;128
KHM;0,593;69,6;11,5;5,1;148;146
CMR;0,576;60,3;13,1;6,2;150;151
CAN;0,936;82,7;16,4;13,8;15;15
CAF;0,404;53,9;8,0;4,3;188;188
TCD;0,394;52,5;8,0;2,6;190;190
CHL;0,855;78,9;16,7;10,9;43;42
CHN;0,768;78,2;14,2;7,6;82;79
COL;0,752;72,8;14,4;8,9;88;88
COM;0,558;63,4;11,9;5,1;156;156
COG;0,571;63,5;12,3;6,2;153;153
COD;0,479;59,2;9,8;7,0;180;179
CRI;0,809;77,0;16,5;8,8;57;58
CIV;0,550;58,6;10,7;5,2;159;159
HRV;0,858;77,6;15,1;12,2;41;40
CUB;0,764;73,7;14,4;12,5;73;83
CYP;0,896;81,2;15,6;12,4;29;29
CZE;0,889;77,7;16,2;12,9;30;32
DNK;0,948;81,4;18,7;13,0;5;6
DJI;0,509;62,3;7,4;4,1;171;171
DMA;0,720;72,8;13,3;8,1;106;102
DOM;0,767;72,6;14,5;9,3;82;80
ECU;0,740;73,7;14,6;8,8;99;95
EGY;0,731;70,2;13,8;9,6;97;97
SLV;0,675;70,7;12,7;7,2;124;125
GNQ;0,596;60,6;9,7;5,9;147;145
ERI;0,492;66,5;8,1;4,9;176;176
EST;0,890;77,1;15,9;13,5;30;31
SWZ;0,597;57,1;13,7;5,6;141;144
ETH;0,498;65,0;9,7;3,2;175;175
FJI;0,730;67,1;14,7;10,9;94;99
FIN;0,940;82,0;19,1;12,9;12;11
FRA;0,903;82,5;15,8;11,6;28;28
GAB;0,706;65,8;13,0;9,4;113;112
GMB;0,500;62,1;9,4;4,6;173;174
GEO;0,802;71,7;15,6;12,8;64;63
DEU;0,942;80,6;17,0;14,1;7;9
GHA;0,632;63,8;12,0;8,3;135;133
GRC;0,887;80,1;20,0;11,4;33;33
GRD;0,795;74,9;18,7;9,0;70;68
GTM;0,627;69,2;10,6;5,7;133;135
GIN;0,465;58,9;9,8;2,2;182;182
GNB;0,483;59,7;10,6;3,6;177;177
GUY;0,714;65,7;12,5;8,6;107;108
HTI;0,535;63,2;9,7;5,6;162;163
HND;0,621;70,1;10,1;7,1;138;137
HKG;0,952;85,5;17,3;12,2;4;4
HUN;0,846;74,5;15,0;12,2;44;46
ISL;0,959;82,7;19,2;13,8;2;3
IND;0,633;67,2;11,9;6,7;130;132
IDN;0,705;67,6;13,7;8,6;116;114
IRN;0,774;73,9;14,6;10,6;77;76
IRQ;0,686;70,4;12,1;7,9;122;121
IRL;0,945;82,0;18,9;11,6;8;8
ISR;0,919;82,3;16,1;13,3;22;22
ITA;0,895;82,9;16,2;10,7;32;30
JAM;0,709;70,5;13,4;9,2;110;110
JPN;0,925;84,8;15,2;13,4;19;19
JOR;0,720;74,3;10,6;10,4;104;102
KAZ;0,811;69,4;15,8;12,3;59;56
KEN;0,575;61,4;10,7;6,7;150;152
KIR;0,624;67,4;11,8;8,0;137;136
PRK;..;73,3;10,8;..;..;192
KOR;0,925;83,7;16,5;12,5;20;19
KWT;0,831;78,7;15,3;7,3;54;50
KGZ;0,692;70,0;13,2;11,4;121;118
LAO;0,607;68,1;10,1;5,4;142;140
LVA;0,863;73,6;16,2;13,3;37;39
LBN;0,706;75,0;11,3;8,7;103;112
LSO;0,514;53,1;12,0;6,0;168;168
LBR;0,481;60,7;10,4;5,1;179;178
LBY;0,718;71,9;12,9;7,6;117;104
LIE;0,935;83,3;15,2;12,5;14;16
LTU;0,875;73,7;16,3;13,5;34;35
LUX;0,930;82,6;14,4;13,0;17;17
MDG;0,501;64,5;10,1;5,1;173;173
MWI;0,512;62,9;12,7;4,5;169;169
MYS;0,803;74,9;13,3;10,6;61;62
MDV;0,747;79,9;12,6;7,3;97;90
MLI;0,428;58,9;7,4;2,3;186;186
MLT;0,918;83,8;16,8;12,2;26;23
MHL;0,639;65,3;10,2;10,9;131;131
MRT;0,556;64,4;9,4;4,9;158;158
MUS;0,802;73,6;15,2;10,4;62;63
MEX;0,758;70,2;14,9;9,2;88;86
FSM;0,628;70,7;11,5;7,8;136;134
MDA;0,767;68,8;14,4;11,8;81;80
MCO;..;85,9;..;..;..;193
MNG;0,739;71,0;15,0;9,4;90;96
MNE;0,832;76,3;15,1;12,2;52;49
MAR;0,683;74,0;14,2;5,9;122;123
MOZ;0,446;59,3;10,2;3,2;184;185
MMR;0,585;65,7;10,9;6,4;145;149
NAM;0,615;59,3;11,9;7,2;134;139
NRU;..;63,6;11,7;..;..;194
NPL;0,602;68,4;12,9;5,1;144;143
NLD;0,941;81,7;18,7;12,6;10;10
NZL;0,937;82,5;20,3;12,9;13;13
NIC;0,667;73,8;12,6;7,1;129;126
NER;0,400;61,6;7,0;2,1;189;189
NGA;0,535;52,7;10,1;7,2;163;163
MKD;0,770;73,8;13,6;10,2;79;78
NOR;0,961;83,2;18,2;13,0;1;2
OMN;0,816;72,5;14,6;11,7;51;54
PAK;0,544;66,1;8,7;4,5;161;161
PLW;0,767;66,0;15,8;12,5;80;80
PSE;0,715;73,5;13,4;9,9;109;106
PAN;0,805;76,2;13,1;10,5;67;61
PNG;0,558;65,4;10,4;4,7;157;156
PRY;0,717;70,3;13,0;8,9;100;105
PER;0,762;72,4;15,4;9,9;85;84
PHL;0,699;69,3;13,1;9,0;113;116
POL;0,876;76,5;16,0;13,2;36;34
PRT;0,866;81,0;16,9;9,6;39;38
QAT;0,855;79,3;12,6;10,0;42;42
ROU;0,821;74,2;14,2;11,3;53;53
RUS;0,822;69,4;15,8;12,8;49;52
RWA;0,534;66,1;11,2;4,4;165;165
KNA;0,777;71,7;15,4;8,7;76;75
LCA;0,715;71,1;12,9;8,5;104;106
VCT;0,751;69,6;14,7;10,8;82;89
WSM;0,707;72,8;12,4;11,4;112;111
SMR;0,853;80,9;12,3;10,8;46;44
STP;0,618;67,6;13,4;6,2;139;138
SAU;0,875;76,9;16,1;11,3;38;35
SEN;0,511;67,1;9,0;2,9;170;170
SRB;0,802;74,2;14,4;11,4;62;63
SYC;0,785;71,3;13,9;10,3;69;72
SLE;0,477;60,1;9,6;4,6;181;181
SGP;0,939;82,8;16,5;11,9;10;12
SVK;0,848;74,9;14,5;12,9;40;45
SVN;0,918;80,7;17,7;12,8;23;23
SLB;0,564;70,3;10,3;5,7;155;155
SOM;..;55,3;..;..;..;194
ZAF;0,713;62,3;13,6;11,4;102;109
SSD;0,385;55,0;5,5;5,7;191;191
ESP;0,905;83,0;17,9;10,6;27;27
LKA;0,782;76,4;14,1;10,8;75;73
SDN;0,508;65,3;7,9;3,8;171;172
SUR;0,730;70,3;13,0;9,8;92;99
SWE;0,947;83,0;19,4;12,6;9;7
CHE;0,962;84,0;16,5;13,9;3;1
SYR;0,577;72,1;9,2;5,1;152;150
TJK;0,685;71,6;11,7;11,3;126;122
TZA;0,549;66,2;9,2;6,4;160;160
THA;0,800;78,7;15,9;8,7;64;66
TLS;0,607;67,7;12,6;5,4;140;140
TGO;0,539;61,6;13,0;5,0;163;162
TON;0,745;71,0;16,0;11,4;90;91
TTO;0,810;73,0;14,5;11,6;56;57
TUN;0,731;73,8;15,4;7,4;94;97
TUR;0,838;76,0;18,3;8,6;48;48
TKM;0,745;69,3;13,2;11,3;93;91
TUV;0,641;64,5;9,4;10,6;131;130
UGA;0,525;62,7;10,1;5,7;166;166
UKR;0,773;71,6;15,0;11,1;78;77
ARE;0,911;78,7;15,7;12,7;25;26
GBR;0,929;80,7;17,3;13,4;17;18
USA;0,921;77,2;16,3;13,7;21;21
URY;0,809;75,4;16,8;9,0;55;58
UZB;0,727;70,9;12,5;11,9;107;101
VUT;0,607;70,4;11,5;7,1;142;140
VEN;0,691;70,6;12,8;11,1;118;120
VNM;0,703;73,6;13,0;8,4;113;115
YEM;0,455;63,8;9,1;3,2;183;183
ZMB;0,565;61,2;10,9;7,2;154;154
ZWE;0,593;59,3;12,1;8,7;145;146
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
